grades,step1,step2,step3,step4,step5,year,
8,6818.11,7104.61,7403.16,7609.13,7714.25,2017,
7,6026.07,6279.29,6543.16,6725.2,6818.11,2017,
6,5326.04,5549.85,5783.05,5943.95,6026.07,2017,
5,4707.34,4905.14,5111.26,5253.46,5326.04,2017,
4,4160.5,4335.32,4517.49,4643.18,4707.34,2017,
3,3677.17,3831.7,3992.72,4103.79,4160.5,2017,
2,3250.01,3386.58,3528.89,3627.07,3677.17,2017,
1,2872.47,2993.17,3118.94,3205.73,3250.01,2017,
16,18040.01,18798.08,19587.99,19587.99,19587.99,2016,July 1
15,15944.36,16614.36,17312.51,17794.18,18040.01,2016,
14,14092.13,14684.31,15301.36,15727.07,15944.36,2016,
13,12455.1,12978.48,13523.85,13900.11,14092.13,2016,
12,11008.23,11470.8,11952.82,12285.37,12455.1,2016,
11,9729.43,10138.26,10564.29,10858.21,11008.23,2016,
10,8599.2,8960.54,9337.08,9596.85,9729.43,2016,
9,7600.25,7919.63,8252.42,8482.01,8599.2,2016,
8,6717.35,6999.62,7293.75,7496.68,7600.25,2016,
7,5937.01,6186.49,6446.46,6625.81,6717.35,2016,
6,5247.33,5467.83,5697.59,5856.11,5937.01,2016,
5,4637.77,4832.65,5035.72,5175.82,5247.33,2016,
4,4099.01,4271.25,4450.73,4574.56,4637.77,2016,
3,3622.83,3775.07,3933.71,4043.14,4099.01,2016,
2,3201.98,3336.53,3476.74,3573.47,3622.83,2016,
1,2830.02,2948.94,3072.85,3158.35,3201.98,2016,
16,17463.71,18197.56,18962.24,,,2015,July1
15,15435,16083.6,16759.45,17225.73,17463.71,2015,
14,13641.95,14215.21,14812.55,15224.66,15435,2015,
13,12057.21,12563.87,13091.82,13456.06,13641.95,2015,
12,10656.56,11104.36,11570.98,11892.9,12057.21,2015,
11,9418.62,9814.39,10226.81,10511.34,10656.56,2015,
10,8324.49,8674.29,9038.8,9290.27,9418.62,2015,
9,7357.45,7666.63,7988.79,8211.05,8324.49,2015,
8,6502.76,6776.01,7060.75,7257.19,7357.45,2015,
7,5747.35,5988.86,6240.52,6414.14,6502.76,2015,
6,5079.7,5293.16,5515.58,5669.03,5747.35,2015,
5,4489.61,4678.27,4874.85,5010.47,5079.7,2015,
4,3968.06,4134.8,4308.55,4428.42,4489.61,2015,
3,3507.1,3654.47,3808.04,3913.98,3968.06,2015,
2,3099.69,3229.94,3365.67,3459.31,3507.1,2015,
1,2739.61,2854.73,2974.69,3057.45,3099.69,2015,
