"c3","date","country","COLLEGE","SG","SJ","COMM","ECFIN","ENTR","COMP","EMPL","AGRI","MOVE","ENER","ENV","CLIMA","RTD","JRC","INFSO","MARE","MARKT","REGIO","TAXUD","EAC","HOME","JUST","FPI","TRADE","DEVCO","ECHO","ESTAT","HR","DIGIT","BUDG","IAS","OLAF","SCIC","DGT","OP","OIB","PMO","OIL","EPSO","CdP.OSP","CNECT","GROW","FISMA","SANTE","NEAR","NON.ASSIGN.DG","TF50","SRSS","DEFIS","IDEA","REFORM","UKTF","total","INTPA","HERA","year","month","spring"
"POL",2012-12-01,"Poland",22,29,15,31,39,55,57,43,57,21,21,31,9,38,20,0,8,48,34,27,25,30,32,4,33,27,9,33,27,13,21,10,28,35,88,26,16,2,4,6,1,42,0,0,47,17,0,0,0,0,0,0,0,1181,0,0,2012,12,0
"POL",2015-01-01,"Poland",30,35,15,55,27,0,56,54,59,28,25,29,10,49,45,0,13,0,43,22,22,30,41,12,44,42,11,37,31,13,30,8,30,39,91,31,38,13,8,10,2,57,96,27,37,27,0,0,0,0,0,0,0,1422,0,0,2015,1,1
"POL",2018-01-01,"Poland",22,44,17,61,28,0,41,48,65,29,28,27,9,48,59,0,11,0,46,19,21,37,44,8,40,50,15,40,37,16,29,8,25,38,90,30,33,14,5,10,4,46,87,23,41,27,0,3,0,0,4,0,0,1427,0,0,2018,1,1
"POL",2018-10-01,"Poland",24,46,19,60,29,0,44,44,69,32,29,28,8,49,56,0,14,0,48,18,20,39,41,7,46,52,22,40,37,15,31,10,20,40,88,32,33,14,5,8,3,46,85,20,42,33,0,4,0,0,5,0,0,1455,0,0,2018,10,0
"PRT",2018-01-01,"Portugal",16,9,8,36,16,0,12,22,19,17,15,8,5,36,71,0,17,0,18,5,5,10,9,2,10,65,5,18,38,11,10,5,9,37,89,26,50,12,14,5,1,15,16,3,12,9,0,0,0,0,4,0,0,1640,0,0,2018,1,1
"PRT",2017-01-01,"Portugal",19,9,8,39,17,0,13,24,25,18,13,10,3,32,71,0,16,0,20,7,6,8,13,2,11,68,5,21,27,13,11,5,9,38,90,26,45,13,16,4,1,18,17,2,13,9,0,0,0,0,3,0,0,1676,0,0,2017,1,1
"PRT",2019-01-01,"Portugal",14,14,9,34,17,0,12,23,19,14,16,8,4,32,67,0,16,0,15,10,5,11,6,1,10,71,8,14,39,10,11,3,7,35,81,23,48,12,14,4,0,14,15,3,9,11,0,0,0,0,4,0,0,793,0,0,2019,1,1
"PRT",2013-12-01,"Portugal",28,6,9,20,19,14,15,15,25,15,7,8,2,16,42,0,13,6,22,10,13,7,12,0,11,35,6,17,11,10,8,1,9,37,101,23,12,4,4,1,0,21,0,0,14,3,0,0,0,0,6,0,0,1316,0,0,2013,12,0
"PRT",2019-04-03,"Portugal",14,14,10,34,16,0,13,24,18,14,17,8,4,33,66,0,16,0,17,9,4,10,7,1,10,68,9,14,41,10,12,3,7,36,78,24,47,13,15,3,0,14,13,3,10,12,0,1,0,0,4,0,0,796,0,0,2019,4,1
"PRT",2020-07-01,"Portugal",15,12,9,32,17,0,16,23,17,13,17,6,3,33,59,0,15,0,16,10,4,12,6,1,9,60,7,16,37,11,10,4,7,38,72,22,48,15,16,3,0,13,14,4,14,17,0,0,0,2,1,1,3,780,0,0,2020,7,0
"PRT",2016-01-01,"Portugal",22,8,10,37,19,0,13,25,30,18,13,10,2,28,60,0,15,0,21,10,8,7,14,2,10,70,4,21,24,13,11,3,11,38,99,26,44,12,16,3,1,29,18,1,14,9,0,0,0,0,4,0,0,1706,0,0,2016,1,1
"PRT",2015-01-01,"Portugal",23,8,11,38,21,0,15,29,28,16,10,7,3,31,53,0,16,0,23,10,9,9,13,1,11,71,4,21,24,12,10,1,9,38,104,23,45,13,14,4,1,28,20,1,16,11,0,0,0,0,5,0,0,1720,0,0,2015,1,1
"PRT",2014-12-01,"Portugal",23,3,11,25,18,14,14,14,23,15,7,7,2,19,40,0,15,6,20,9,14,9,12,0,9,39,4,17,18,11,9,1,8,36,99,23,11,5,4,1,1,19,0,0,14,2,0,0,0,0,6,0,0,1314,0,0,2014,12,0
"PRT",2012-12-01,"Portugal",28,8,9,20,15,16,13,18,23,15,7,8,2,17,40,0,11,5,25,8,17,8,13,1,13,33,6,17,15,11,8,1,9,36,103,25,12,4,4,0,1,18,0,0,13,3,0,0,0,0,6,0,0,1330,0,0,2012,12,0
"PRT",2011-12-01,"Portugal",32,9,9,20,12,16,11,22,25,16,7,8,1,19,40,26,13,4,26,10,16,8,12,1,14,37,6,19,15,12,4,1,9,36,108,24,12,4,4,0,1,0,0,0,11,3,0,0,0,0,6,0,0,1378,0,0,2011,12,0
"PRT",2018-10-01,"Portugal",14,12,8,35,16,0,12,24,18,14,15,7,4,32,70,0,17,0,16,10,4,10,6,1,10,70,8,15,37,10,11,3,7,37,81,23,49,13,14,4,2,14,15,3,10,11,0,0,0,0,4,0,0,796,0,0,2018,10,0
"ROM",2011-12-01,"Other",9,20,16,13,20,32,38,22,32,17,12,17,5,33,16,35,8,26,16,11,14,14,14,2,14,23,2,24,11,22,22,4,14,26,90,24,6,3,6,4,0,0,0,0,24,7,0,0,0,0,0,0,0,1536,0,0,2011,12,0
"ROU",2012-12-01,"Romania",10,19,16,17,24,29,39,24,34,17,14,17,7,42,19,0,7,26,18,10,13,15,14,2,13,27,2,27,10,23,26,7,15,24,88,26,6,4,7,5,1,31,0,0,30,8,0,0,0,0,0,0,0,1626,0,0,2012,12,0
"ROU",2018-10-01,"Romania",21,42,16,38,34,0,48,43,32,23,30,20,4,64,68,0,18,0,33,17,18,24,26,8,15,55,21,47,48,44,38,10,26,23,98,26,32,19,16,5,1,49,42,23,23,37,0,3,0,0,4,0,0,1332,0,0,2018,10,0
"ROU",2019-04-03,"Romania",22,31,16,42,33,0,45,38,32,24,28,24,5,55,62,0,20,0,35,18,20,24,25,8,16,58,19,47,51,44,40,9,27,23,92,26,36,20,18,7,0,46,43,22,25,39,0,2,9,0,4,0,0,1330,0,0,2019,4,1
"ROU",2013-12-01,"Romania",11,18,14,17,32,30,44,30,29,19,17,16,8,40,20,0,8,26,19,13,14,14,17,2,15,28,2,32,14,23,26,6,16,25,88,25,6,4,9,3,1,35,0,0,26,7,0,0,0,0,1,0,0,1700,0,0,2013,12,0
"ROU",2016-01-01,"Romania",15,27,14,38,32,0,59,46,38,29,23,17,9,92,71,0,9,0,34,17,20,25,26,6,19,43,12,56,24,31,29,11,24,22,97,26,27,16,16,5,0,57,50,18,25,43,0,0,0,0,1,0,0,1299,0,0,2016,1,1
"ROU",2019-01-01,"Romania",22,31,16,40,32,0,45,39,31,23,29,22,5,60,64,0,20,0,32,17,20,24,27,9,15,59,20,47,49,44,41,10,27,23,97,26,34,20,15,7,0,48,41,23,25,36,0,2,8,0,4,0,0,1329,0,0,2019,1,1
"ROU",2014-12-01,"Romania",13,19,14,18,36,30,46,29,34,23,19,17,9,38,23,0,8,31,23,14,14,16,18,2,19,28,2,33,13,22,24,6,21,22,89,26,7,4,12,3,1,33,0,0,25,7,0,0,0,0,1,0,0,1784,0,0,2014,12,0
"ROU",2017-01-01,"Romania",16,33,15,34,29,0,53,43,37,29,25,19,7,83,73,0,11,0,37,17,19,25,24,7,17,43,13,54,27,34,36,12,23,19,95,27,28,18,17,5,0,48,45,19,21,39,0,1,0,0,1,0,0,1278,0,0,2017,1,1
"ROU",2015-01-01,"Romania",13,24,15,37,34,0,51,37,44,31,22,19,9,95,69,0,10,0,34,14,17,24,23,4,21,49,11,56,23,29,28,8,26,26,94,27,28,14,18,4,1,62,53,18,27,39,0,0,0,0,1,0,0,1289,0,0,2015,1,1
"ROU",2020-07-01,"Romania",21,36,18,42,36,0,51,38,35,23,26,24,9,60,54,0,17,0,38,23,19,24,26,4,17,62,17,51,56,45,49,13,31,25,91,25,47,19,18,7,0,41,35,27,32,35,0,0,0,9,2,15,3,1396,0,0,2020,7,0
"ROU",2018-01-01,"Romania",20,34,15,36,31,0,51,43,32,25,28,19,5,76,64,0,15,0,32,17,17,26,24,6,15,43,19,45,42,39,34,10,27,19,94,26,27,20,16,5,0,46,39,25,26,42,0,2,0,0,4,0,0,1281,0,0,2018,1,1
"SVK",2019-04-03,"Slovakia",12,9,6,25,7,0,15,9,12,6,6,7,3,12,20,0,3,0,17,2,3,4,7,0,12,4,8,18,11,2,2,1,10,12,83,18,6,2,2,0,0,8,21,6,7,14,0,0,1,0,1,0,0,434,0,0,2019,4,1
