"country","weight"
"Malta",3
"Luxembourg",4
"Cyprus",4
"Estonia",4
"Latvia",4
"Slovenia",4
"Lithuania",7
"Croatia",7
"Ireland",7
"Slovakia",7
"Finland",7
"Denmark",7
"Bulgaria",10
"Austria",10
"Sweden",10
"Hungary",12
"Portugal",12
"Czech Republic",12
"Greece",12
"Belgium",12
"Netherlands",13
"Romania",14
"Poland",27
"Spain",27
"Italy",29
"France",29
"Germany",29
"United Kingdom",29
