"ysp","country","iso2c","iso3c","date","pop","pop_int"
2014,"Portugal","PT","PRT","2014",10401062,10401062
2014.5,"Portugal",NA,NA,NA,NA,10379569
2015,"Portugal","PT","PRT","2015",10358076,10358076
2015.5,"Portugal",NA,NA,NA,NA,10341764
2016,"Portugal","PT","PRT","2016",10325452,10325452
2016.5,"Portugal",NA,NA,NA,NA,10312876
2017,"Portugal","PT","PRT","2017",10300300,10300300
2017.5,"Portugal",NA,NA,NA,NA,10292061
2018,"Portugal","PT","PRT","2018",10283822,10283822
2018.5,"Portugal",NA,NA,NA,NA,10285042.5
2019,"Portugal","PT","PRT","2019",10286263,10286263
2019.5,"Portugal",NA,NA,NA,NA,10291672
2020,"Portugal","PT","PRT","2020",10297081,10297081
2020.5,"Portugal",NA,NA,NA,NA,10329456
2021,"Portugal","PT","PRT","2021",10361831,10361831
2021.5,"Portugal",NA,NA,NA,NA,10385767.5
2022,"Portugal","PT","PRT","2022",10409704,10409704
2022.5,"Portugal",NA,NA,NA,NA,10438535
2023,"Portugal","PT","PRT","2023",10467366,10467366
2011,"Romania","RO","ROU","2011",20147528,20147528
2011.5,"Romania",NA,NA,NA,NA,20102781.5
2012,"Romania","RO","ROU","2012",20058035,20058035
2012.5,"Romania",NA,NA,NA,NA,20020864
2013,"Romania","RO","ROU","2013",19983693,19983693
2013.5,"Romania",NA,NA,NA,NA,19946336
2014,"Romania","RO","ROU","2014",19908979,19908979
2014.5,"Romania",NA,NA,NA,NA,19862297.5
2015,"Romania","RO","ROU","2015",19815616,19815616
2015.5,"Romania",NA,NA,NA,NA,19758941.5
2016,"Romania","RO","ROU","2016",19702267,19702267
2016.5,"Romania",NA,NA,NA,NA,19645491
2017,"Romania","RO","ROU","2017",19588715,19588715
2017.5,"Romania",NA,NA,NA,NA,19531342.5
2018,"Romania","RO","ROU","2018",19473970,19473970
2018.5,"Romania",NA,NA,NA,NA,19422809
2019,"Romania","RO","ROU","2019",19371648,19371648
2019.5,"Romania",NA,NA,NA,NA,19318449
2020,"Romania","RO","ROU","2020",19265250,19265250
2020.5,"Romania",NA,NA,NA,NA,19193654.5
2021,"Romania","RO","ROU","2021",19122059,19122059
2021.5,"Romania",NA,NA,NA,NA,19084534
2022,"Romania","RO","ROU","2022",19047009,19047009
2022.5,"Romania",NA,NA,NA,NA,19050778.5
2023,"Romania","RO","ROU","2023",19054548,19054548
2011,"Slovakia","SK","SVK","2011",5398384,5398384
2011.5,"Slovakia",NA,NA,NA,NA,5402981.5
2012,"Slovakia","SK","SVK","2012",5407579,5407579
2012.5,"Slovakia",NA,NA,NA,NA,5410486
2013,"Slovakia","SK","SVK","2013",5413393,5413393
2013.5,"Slovakia",NA,NA,NA,NA,5416021
2014,"Slovakia","SK","SVK","2014",5418649,5418649
2014.5,"Slovakia",NA,NA,NA,NA,5421225
2015,"Slovakia","SK","SVK","2015",5423801,5423801
2015.5,"Slovakia",NA,NA,NA,NA,5427299.5
2016,"Slovakia","SK","SVK","2016",5430798,5430798
2016.5,"Slovakia",NA,NA,NA,NA,5435015
2017,"Slovakia","SK","SVK","2017",5439232,5439232
2017.5,"Slovakia",NA,NA,NA,NA,5443001.5
2018,"Slovakia","SK","SVK","2018",5446771,5446771
2018.5,"Slovakia",NA,NA,NA,NA,5450459
2019,"Slovakia","SK","SVK","2019",5454147,5454147
2019.5,"Slovakia",NA,NA,NA,NA,5456487
2020,"Slovakia","SK","SVK","2020",5458827,5458827
2020.5,"Slovakia",NA,NA,NA,NA,5453037
2021,"Slovakia","SK","SVK","2021",5447247,5447247
2021.5,"Slovakia",NA,NA,NA,NA,5439499.5
2022,"Slovakia","SK","SVK","2022",5431752,5431752
2022.5,"Slovakia",NA,NA,NA,NA,5430272
2023,"Slovakia","SK","SVK","2023",5428792,5428792
2011,"Slovenia","SI","SVN","2011",2052843,2052843
2011.5,"Slovenia",NA,NA,NA,NA,2055001
2012,"Slovenia","SI","SVN","2012",2057159,2057159
2012.5,"Slovenia",NA,NA,NA,NA,2058556
2013,"Slovenia","SI","SVN","2013",2059953,2059953
2013.5,"Slovenia",NA,NA,NA,NA,2060966.5
2014,"Slovenia","SI","SVN","2014",2061980,2061980
2014.5,"Slovenia",NA,NA,NA,NA,2062755.5
2015,"Slovenia","SI","SVN","2015",2063531,2063531
2015.5,"Slovenia",NA,NA,NA,NA,2064286.5
2016,"Slovenia","SI","SVN","2016",2065042,2065042
2016.5,"Slovenia",NA,NA,NA,NA,2065715
2017,"Slovenia","SI","SVN","2017",2066388,2066388
2017.5,"Slovenia",NA,NA,NA,NA,2070141
2018,"Slovenia","SI","SVN","2018",2073894,2073894
2018.5,"Slovenia",NA,NA,NA,NA,2081139.5
2019,"Slovenia","SI","SVN","2019",2088385,2088385
2019.5,"Slovenia",NA,NA,NA,NA,2095402
2020,"Slovenia","SI","SVN","2020",2102419,2102419
2020.5,"Slovenia",NA,NA,NA,NA,2105249
2021,"Slovenia","SI","SVN","2021",2108079,2108079
2021.5,"Slovenia",NA,NA,NA,NA,2110032.5
2022,"Slovenia","SI","SVN","2022",2111986,2111986
2022.5,"Slovenia",NA,NA,NA,NA,2114479
2023,"Slovenia","SI","SVN","2023",2116972,2116972
2011,"Sweden","SE","SWE","2011",9449213,9449213
2011.5,"Sweden",NA,NA,NA,NA,9484293.5
2012,"Sweden","SE","SWE","2012",9519374,9519374
2012.5,"Sweden",NA,NA,NA,NA,9559876.5
2013,"Sweden","SE","SWE","2013",9600379,9600379
2013.5,"Sweden",NA,NA,NA,NA,9648244.5
2014,"Sweden","SE","SWE","2014",9696110,9696110
2014.5,"Sweden",NA,NA,NA,NA,9747648
2015,"Sweden","SE","SWE","2015",9799186,9799186
2015.5,"Sweden",NA,NA,NA,NA,9861135.5
2016,"Sweden","SE","SWE","2016",9923085,9923085
2016.5,"Sweden",NA,NA,NA,NA,9990391.5
2017,"Sweden","SE","SWE","2017",10057698,10057698
2017.5,"Sweden",NA,NA,NA,NA,10116456
2018,"Sweden","SE","SWE","2018",10175214,10175214
2018.5,"Sweden",NA,NA,NA,NA,10227050.5
2019,"Sweden","SE","SWE","2019",10278887,10278887
2019.5,"Sweden",NA,NA,NA,NA,10316164.5
2020,"Sweden","SE","SWE","2020",10353442,10353442
2020.5,"Sweden",NA,NA,NA,NA,10384626.5
2021,"Sweden","SE","SWE","2021",10415811,10415811
2021.5,"Sweden",NA,NA,NA,NA,10451376
2022,"Sweden","SE","SWE","2022",10486941,10486941
2022.5,"Sweden",NA,NA,NA,NA,10504248.5
2023,"Sweden","SE","SWE","2023",10521556,10521556
